model_name,notebook,spatial_resolution,temporal_resolution,unit_id,median_demand,rmse,mae,r2,skill,relative_mae,last_run_at
Profile baseline,03.01_prediction_svm_CA_4h.ipynb,community_area,4h,35,14.0,6.56,4.56,0.8199,0.0,0.304,2026-07-17T19:23:07
Profile baseline,03.01_prediction_svm_CA_4h.ipynb,community_area,4h,36,4.0,2.91,2.14,0.535,0.0,0.428,2026-07-17T19:23:07
Profile baseline,03.01_prediction_svm_CA_4h.ipynb,community_area,4h,37,3.0,3.11,2.6,-1.4337,0.0,0.65,2026-07-17T19:23:07
Profile baseline,03.01_prediction_svm_CA_4h.ipynb,community_area,4h,38,12.0,5.33,3.87,0.7839,0.0,0.2976923076923077,2026-07-17T19:23:07
Profile baseline,03.01_prediction_svm_CA_4h.ipynb,community_area,4h,39,9.0,4.51,3.29,0.7743,0.0,0.329,2026-07-17T19:23:07
Profile baseline,03.01_prediction_svm_CA_4h.ipynb,community_area,4h,40,3.0,2.12,1.55,0.5201,0.0,0.3875,2026-07-17T19:23:07
Profile baseline,03.01_prediction_svm_CA_4h.ipynb,community_area,4h,41,13.0,6.75,4.44,0.8747,0.0,0.3171428571428571,2026-07-17T19:23:07
Profile baseline,03.01_prediction_svm_CA_4h.ipynb,community_area,4h,42,6.0,3.32,2.44,0.6686,0.0,0.3485714285714286,2026-07-17T19:23:07
Profile baseline,03.01_prediction_svm_CA_4h.ipynb,community_area,4h,43,15.0,7.14,5.52,0.1957,0.0,0.345,2026-07-17T19:23:07
Profile baseline,03.01_prediction_svm_CA_4h.ipynb,community_area,4h,44,13.0,7.48,5.83,-0.2143,0.0,0.4164285714285714,2026-07-17T19:23:07
Profile baseline,03.01_prediction_svm_CA_4h.ipynb,community_area,4h,45,2.0,1.65,1.21,0.4307,0.0,0.4033333333333333,2026-07-17T19:23:07
Profile baseline,03.01_prediction_svm_CA_4h.ipynb,community_area,4h,46,5.0,3.22,2.4,0.0042,0.0,0.3999999999999999,2026-07-17T19:23:07
Profile baseline,03.01_prediction_svm_CA_4h.ipynb,community_area,4h,47,0.0,1.09,0.74,0.3211,0.0,0.74,2026-07-17T19:23:07
Profile baseline,03.01_prediction_svm_CA_4h.ipynb,community_area,4h,48,2.0,2.23,1.65,0.0753,0.0,0.5499999999999999,2026-07-17T19:23:07
Profile baseline,03.01_prediction_svm_CA_4h.ipynb,community_area,4h,49,7.0,4.08,3.2,0.1142,0.0,0.4,2026-07-17T19:23:07
Profile baseline,03.01_prediction_svm_CA_4h.ipynb,community_area,4h,50,3.0,2.76,2.1,-0.3661,0.0,0.525,2026-07-17T19:23:07
Profile baseline,03.01_prediction_svm_CA_4h.ipynb,community_area,4h,51,4.0,2.8,2.13,-0.1395,0.0,0.426,2026-07-17T19:23:07
Profile baseline,03.01_prediction_svm_CA_4h.ipynb,community_area,4h,52,1.0,1.7,1.29,-1.2297,0.0,0.645,2026-07-17T19:23:07
Profile baseline,03.01_prediction_svm_CA_4h.ipynb,community_area,4h,53,7.0,5.48,4.26,-1.448,0.0,0.5325,2026-07-17T19:23:07
Profile baseline,03.01_prediction_svm_CA_4h.ipynb,community_area,4h,54,2.0,2.29,1.75,-1.2346,0.0,0.5833333333333334,2026-07-17T19:23:07
Profile baseline,03.01_prediction_svm_CA_4h.ipynb,community_area,4h,55,1.0,1.51,1.11,-0.5568,0.0,0.555,2026-07-17T19:23:07
Profile baseline,03.01_prediction_svm_CA_4h.ipynb,community_area,4h,56,72.0,36.91,28.97,0.0204,0.0,0.3968493150684931,2026-07-17T19:23:07
Profile baseline,03.01_prediction_svm_CA_4h.ipynb,community_area,4h,57,0.0,0.82,0.6,0.0264,0.0,0.6,2026-07-17T19:23:07
Profile baseline,03.01_prediction_svm_CA_4h.ipynb,community_area,4h,58,1.0,1.16,0.81,0.3101,0.0,0.405,2026-07-17T19:23:07
Profile baseline,03.01_prediction_svm_CA_4h.ipynb,community_area,4h,59,1.0,2.21,1.28,0.8122,0.0,0.64,2026-07-17T19:23:07
Profile baseline,03.01_prediction_svm_CA_4h.ipynb,community_area,4h,60,1.0,2.31,1.64,0.2475,0.0,0.82,2026-07-17T19:23:07
Profile baseline,03.01_prediction_svm_CA_4h.ipynb,community_area,4h,61,2.0,1.75,1.27,0.4315,0.0,0.4233333333333333,2026-07-17T19:23:07
Profile baseline,03.01_prediction_svm_CA_4h.ipynb,community_area,4h,62,1.0,0.83,0.65,-0.1464,0.0,0.325,2026-07-17T19:23:07
Profile baseline,03.01_prediction_svm_CA_4h.ipynb,community_area,4h,63,0.0,0.63,0.44,-0.3851,0.0,0.44,2026-07-17T19:23:07
Profile baseline,03.01_prediction_svm_CA_4h.ipynb,community_area,4h,64,0.0,0.83,0.6,-0.1682,0.0,0.6,2026-07-17T19:23:07
Profile baseline,03.01_prediction_svm_CA_4h.ipynb,community_area,4h,65,0.0,0.97,0.68,0.354,0.0,0.68,2026-07-17T19:23:07
Profile baseline,03.01_prediction_svm_CA_4h.ipynb,community_area,4h,66,2.0,1.7,1.25,0.1333,0.0,0.4166666666666667,2026-07-17T19:23:07
Profile baseline,03.01_prediction_svm_CA_4h.ipynb,community_area,4h,67,2.0,1.81,1.34,0.2482,0.0,0.4466666666666667,2026-07-17T19:23:07
Profile baseline,03.01_prediction_svm_CA_4h.ipynb,community_area,4h,68,5.0,3.5,2.62,0.1528,0.0,0.4366666666666667,2026-07-17T19:23:07
